Player Name	Team	Specialism	Base Price (₹ Cr)	Country	Capped/Uncapped
Ravichandran Ashwin	CSK	AR	2.0	India	Capped
Rachin Ravindra	CSK	AR	1.5	New Zealand	Capped
Ravindra Jadeja	CSK	AR	2.0	India	Capped
Shivam Dube	CSK	AR	2.0	India	Capped
Jamie Overton	CSK	AR	1.5	England	Capped
Axar Patel	DC	AR	2.0	India	Capped
Rahul Tewatia	GT	AR	4.0	India	Capped
Venkatesh Iyer	KKR	AR	2.0	India	Capped
Varun Chakravarthy	KKR	AR	2.0	India	Capped
Andre Russell	KKR	AR	2.0	West Indies	Capped
Arshin Kulkarni	LSG	AR	0.3	India	Capped
Mitchell Marsh	LSG	AR	2.0	Australia	Capped
Raj Bawa	MI	AR	0.3	India	Capped
Hardik Pandya	MI	AR	2.0	India	Capped
Glenn Maxwell	PBKS	AR	2.0	Australia	Capped
Marcus Stoinis	PBKS	AR	2.0	Australia	Capped
Liam Livingstone	RCB	AR	2.0	England	Capped
Yashasvi Jaiswal	RR	AR	2.0	India	Capped
Harshal Patel	SRH	AR	2.0	India	Capped
Pat Cummins	SRH	AR	2.0	Australia	Capped
Yuvraj Chaudhary	LSG	AR	0.3	India	Capped (Cricbuzz)
Nitish Rana	RR	AR	1.5	India	Capped (Cricbuzz, ESPN Cricinfo)
Sam Curran	CSK	AR	2.0	England	Capped (England international)
Krunal Pandya	RCB	AR	2.0	India	Capped (ESPN Cricinfo, Cricbuzz)
Washington Sundar	GT	AR	2.0	India	Capped (ESPN Cricinfo, Wikipedia)
Vijay Shankar	CSK	AR	0.3	India	Capped (India international)
Abdul Samad	LSG	AR	0.3	India	Capped (India international)
Jayant Yadav	GT	AR	0.75	India	Capped (IPL T20)
Mitchell Santner	MI	AR	2.0	New Zealand	Capped (IPL T20)
Suryansh Shedge	PBKS	AR	0.3	India	Capped (IPL T20)
Aaron Hardie	PBKS	AR	1.25	Australia	Capped (IPL T20)
Manoj Bhandage	RCB	AR	0.3	India	Capped (IPL T20)
Jacob Bethell	RCB	AR	1.25	England	Capped (IPL T20)
Brydon Carse	SRH	AR	1.0	England	Capped (IPL T20)
Kamindu Mendis	SRH	AR	0.75	Sri Lanka	Capped (IPL T20)
Harpreet Brar	PBKS	AR	0.3	India	Capped (IPL/domestic)
Ramakrishna Ghosh	CSK	AR	0.3	India	Capped (myKhel)
Karim Janat	GT	AR	0.75	Afghanistan	Capped (Rediff)
Mahipal Lomror	GT	AR	0.5	India	Capped (The Times of India, ESPN Cricinfo)
Ashutosh Sharma	DC	AR	0.3	India	Capped (Wikipedia, ESPN Cricinfo)
Marco Jansen	PBKS	AR	1.25	South Africa	Capped (Wikipedia, icc)
Vipraj Nigam	DC	AR	0.3	India	Uncapped
Sameer Rizvi	DC	AR	0.3	India	Uncapped
Sai Sudharsan	GT	AR	2.0	India	Uncapped
M Shahrukh Khan	GT	AR	2.0	India	Uncapped
Ramandeep Singh	KKR	AR	2.0	India	Uncapped
Ayush Badoni	LSG	AR	2.0	India	Uncapped
Naman Dhir	MI	AR	0.3	India	Uncapped
Tilak Varma	MI	AR	2.0	India	Uncapped
Shashank Singh	PBKS	AR	2.0	India	Uncapped
Riyan Parag	RR	AR	2.0	India	Uncapped
Abhishek Sharma	SRH	AR	2.0	India	Uncapped
Nitish Kumar Reddy	SRH	AR	2.0	India	Uncapped
Nishant Sindhu	GT	AR	0.3	India	Uncapped (ESPN Cricinfo)
Anshul Kamboj	CSK	AR	0.3	India	Uncapped (Hindustan Times)
Arshad Khan	GT	AR	0.3	India	Uncapped (Hindustan Times)
Anukul Roy	KKR	AR	0.3	India	Uncapped (Hindustan Times)
Kamlesh Nagarkoti	CSK	AR	0.3	India	Uncapped (IPL T20)
Darshan Nalkande	DC	AR	0.3	India	Uncapped (IPL T20)
Musheer Khan	PBKS	AR	0.3	India	Uncapped (IPL T20)
Swapnil Singh	RCB	AR	0.3	India	Uncapped (IPL T20)
Priyansh Arya	PBKS	AR	0.3	India	Uncapped (IPL T20, Wikipedia)
Rajvardhan Hangargekar	LSG	AR	0.3	India	Uncapped (mint, IPL T20)
Yudhvir Singh	RR	AR	0.3	India	Uncapped (myKhel)
Manvanth Kumar	DC	AR	0.3	India	Uncapped (Rediff)
Ajay Mandal	DC	AR	0.3	India	Uncapped (Rediff)
Praveen Dubey	PBKS	AR	0.3	India	Uncapped (Rediff)
Madhav Tiwari	DC	AR	0.4	India	Uncapped (X (formerly Twitter), Rediff)
Tripurana Vijay	DC	AR	0.3	India	Uncapped (X (formerly Twitter), Rediff)
Mohit Rathee	RCB	AR (All‑rounder)	0.3	India	Uncapped
Rahul Tripathi	CSK	BAT	0.75	India	Capped
Devon Conway	CSK	BAT	2.0	New Zealand	Capped
Ruturaj Gaikwad	CSK	BAT	2.0	India	Capped
MS Dhoni	CSK	BAT	2.0	India	Capped
Jake Fraser-McGurk	DC	BAT	2.0	Australia	Capped
Harry Brook	DC	BAT	2.0	England	Capped
KL Rahul	DC	BAT	2.0	India	Capped
Jos Buttler	GT	BAT	2.0	England	Capped
Shubman Gill	GT	BAT	2.0	India	Capped
Manish Pandey	KKR	BAT	0.75	India	Capped
Rahmanullah Gurbaz	KKR	BAT	2.0	Afghanistan	Capped
Quinton de Kock	KKR	BAT	2.0	South Africa	Capped
Rinku Singh	KKR	BAT	2.0	India	Capped
Aiden Markram	LSG	BAT	2.0	South Africa	Capped
David Miller	LSG	BAT	1.5	South Africa	Capped
Rishabh Pant	LSG	BAT	2.0	India	Capped
Nicholas Pooran	LSG	BAT	2.0	West Indies	Capped
Suryakumar Yadav	MI	BAT	2.0	India	Capped
Rohit Sharma	MI	BAT	2.0	India	Capped
Pyla Avinash	PBKS	BAT	0.3	India	Capped
Vishnu Vinod	PBKS	BAT	0.3	India	Capped
Shreyas Iyer	PBKS	BAT	2.0	India	Capped
Jitesh Sharma	RCB	BAT	1.0	India	Capped
Phil Salt	RCB	BAT	2.0	England	Capped
Devdutt Padikkal	RCB	BAT	2.0	India	Capped
Virat Kohli	RCB	BAT	2.0	India	Capped
Sanju Samson	RR	BAT	2.0	India	Capped
Shimron Hetmyer	RR	BAT	2.0	West Indies	Capped
Ishan Kishan	SRH	BAT	2.0	India	Capped
Heinrich Klaasen	SRH	BAT	2.0	South Africa	Capped
Travis Head	SRH	BAT	2.0	Australia	Capped
Ajinkya Rahane	KKR	BAT	1.5	India	Capped (Cricbuzz, ESPN Cricinfo)
Vansh Bedi	CSK	BAT	0.3	India	Capped (Cricbuzz, IPL T20)
Faf du Plessis	DC	BAT	2.0	South Africa	Capped (ESPN Cricinfo, Cricbuzz)
Ryan Rickelton	MI	BAT	1.0	South Africa	Capped (ESPN Cricinfo, icc)
Karun Nair	DC	BAT	0.3	India	Capped (Reuters, Wikipedia)
Donovan Ferreira	DC	BAT	0.75	South Africa	Capped (Wikipedia, Cricbuzz)
Glenn Phillips	GT	BAT	2.0	New Zealand	Capped (Wikipedia, icc)
Rovman Powell	KKR	BAT	1.5	West Indies	Capped (Wikipedia, icc)
Josh Inglis	PBKS	BAT	2.0	Australia	Capped (Wikipedia, perthscorchers.com.au)
C Andre Siddarth	CSK	BAT	0.3	India	Uncapped
Tristan Stubbs	DC	BAT	2.0	South Africa	Uncapped
Abishek Porel	DC	BAT	2.0	India	Uncapped
Anuj Rawat	GT	BAT	0.3	India	Uncapped
Luvnith Sisodia	KKR	BAT	0.3	India	Uncapped
Angkrish Raghuvanshi	KKR	BAT	0.3	India	Uncapped
Aryan Juyal	LSG	BAT	0.3	India	Uncapped
Nehal Wadhera	PBKS	BAT	0.3	India	Uncapped
Prabhsimran Singh	PBKS	BAT	2.0	India	Uncapped
Rajat Patidar	RCB	BAT	1.0	India	Uncapped
Dhruv Jurel	RR	BAT	2.0	India	Uncapped
Aniket Verma	SRH	BAT	0.3	India	Uncapped
Atharva Taide	SRH	BAT	0.3	India	Uncapped
Robin Minz	MI	BAT	0.3	India	Uncapped (ESPN Cricinfo, Wikipedia)
Shaik Rasheed	CSK	BAT	0.3	India	Uncapped (Hindustan Times)
